ROCK;IJK;XC;YC;ZC;XINC;YINC;ZINC;XMORIG;YMORIG;ZMORIG;NX;NY;NZ;DENSITY;AU;CU
6;202216;7941.25;6691.25;282.5250701;12.5;12.5;6.33482484;7410;6010;77.10489;95;95;50;2.01;1.29;0.07
8;202216;7941.25;6691.25;278.083329;12.5;12.5;1.95687791;7410;6010;77.10489;95;95;50;1.75;1.29;0.07
8;202264;7941.25;6703.75;262.2340831;12.5;12.5;4.7416139;7410;6010;77.10489;95;95;50;1.75;0;0
8;202265;7941.25;6703.75;276.669762;12.5;12.5;0.87025593;7410;6010;77.10489;95;95;50;1.75;0.94;0.11
8;202265;7941.25;6703.75;270.419762;12.5;12.5;11.62974407;7410;6010;77.10489;95;95;50;1.75;0.94;0.11
8;202266;7941.25;6703.75;277.6335691;12.5;12.5;1.05735812;7410;6010;77.10489;95;95;50;1.75;1.29;0.07
6;202266;7941.25;6703.75;280.1932407;12.5;12.5;4.0619852;7410;6010;77.10489;95;95;50;2.01;1.29;0.07
8;202314;7941.25;6716.25;260.395347;12.5;12.5;8.41908605;7410;6010;77.10489;95;95;50;1.75;0;0
8;202315;7941.25;6716.25;269.5686218;12.5;12.5;9.92746355;7410;6010;77.10489;95;95;50;1.75;0.94;0.1
8;206222;7953.75;6503.75;362.3904794;12.5;12.5;4.42882128;7410;6010;77.10489;95;95;50;1.75;0;0
8;206223;7953.75;6503.75;365.6244808;12.5;12.5;2.03918157;7410;6010;77.10489;95;95;50;1.75;0;0
8;206272;7953.75;6516.25;358.5012215;12.5;12.5;8.89818517;7410;6010;77.10489;95;95;50;1.75;0;0
8;206321;7953.75;6528.75;349.6654812;12.5;12.5;4.8788177;7410;6010;77.10489;95;95;50;1.75;1.08;0.11
6;206322;7953.75;6528.75;362.8066892;12.5;12.5;3.59640168;7410;6010;77.10489;95;95;50;2.01;0;0.032
8;206322;7953.75;6528.75;356.5027031;12.5;12.5;8.79562618;7410;6010;77.10489;95;95;50;1.75;0;0.032
6;206323;7953.75;6528.75;369.6220613;12.5;12.5;10.03434265;7410;6010;77.10489;95;95;50;2.01;0.56;0.01
8;206370;7953.75;6541.25;338.3548969;12.5;12.5;2.4999863;7410;6010;77.10489;95;95;50;1.75;0.297;0.0275
8;206371;7953.75;6541.25;345.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;1.75;0.0475;0.04
8;206372;7953.75;6541.25;356.6318747;12.5;12.5;0.3181132;7410;6010;77.10489;95;95;50;1.75;0.56;0.06
6;206372;7953.75;6541.25;360.6979106;12.5;12.5;7.81395874;7410;6010;77.10489;95;95;50;2.01;0.56;0.06
8;206372;7953.75;6541.25;354.288854;12.5;12.5;4.36792807;7410;6010;77.10489;95;95;50;1.75;0.56;0.06
6;206373;7953.75;6541.25;368.2317059;12.5;12.5;7.25363184;7410;6010;77.10489;95;95;50;2.01;0.56;0.08
6;206420;7953.75;6553.75;339.1211642;12.5;12.5;0.96745159;7410;6010;77.10489;95;95;50;2.01;2.94;0.23
8;206420;7953.75;6553.75;333.2134778;12.5;12.5;9.55914661;7410;6010;77.10489;95;95;50;1.75;2.94;0.23
6;206421;7953.75;6553.75;345.85489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;2.01;1.54;0.13
6;206422;7953.75;6553.75;358.35489;12.5;12.5;12.5;7410;6010;77.10489;95;95;50;2.01;2.8;0.2
6;206423;7953.75;6553.75;364.921187;12.5;12.5;0.63259398;7410;6010;77.10489;95;95;50;2.01;7.21;0.28
8;206469;7953.75;6566.25;322.2500486;12.5;12.5;9.70968283;7410;6010;77.10489;95;95;50;1.75;0.72;0.08
6;206470;7953.75;6566.25;338.9918039;12.5;12.5;1.22617215;7410;6010;77.10489;95;95;50;2.01;1.75;0.14
